TeamPair,MeanActualScores,MeanPredictedScores,MeanAbsoluteError,MatchCount
Minnesota Timberwolves (cyber) - Denver Nuggets (cyber),197.8125,199.92564486850384,7.9189112171259595,16.0
Minnesota Timberwolves (cyber) - Golden State Warriors (cyber),197.5,195.1741256483911,7.25,8.0
Minnesota Timberwolves (cyber) - Los Angeles Clippers (cyber),193.0731707317073,193.3645704441106,8.942327550143643,41.0
Minnesota Timberwolves (cyber) - Los Angeles Lakers (cyber),195.32608695652175,196.8571443358556,7.62422366677633,46.0
Minnesota Timberwolves (cyber) - Memphis Grizzlies (cyber),187.8148148148148,191.29545859508823,8.150674450578432,27.0
Minnesota Timberwolves (cyber) - Phoenix Suns (cyber),204.3181818181818,201.70654025214463,8.435769067986856,22.0
Minnesota Timberwolves (cyber) - Sacramento Kings (cyber),209.66666666666666,205.5717232058335,8.872950398703672,18.0
New York Knicks (cyber) - Atlanta Hawks (cyber),210.30612244897958,209.01191023428902,9.797133697376434,49.0
New York Knicks (cyber) - Boston Celtics (cyber),203.02777777777777,203.93140424687533,9.412855791493074,36.0
New York Knicks (cyber) - Brooklyn Nets (cyber),200.23076923076923,199.1766279263633,10.634964218345035,39.0
New York Knicks (cyber) - Cleveland Cavaliers (cyber),203.56410256410257,205.14480327219573,7.762154265666123,39.0
New York Knicks (cyber) - Miami Heat (cyber),203.6315789473684,202.53548163097523,8.838370354634193,38.0
New York Knicks (cyber) - Milwaukee Bucks (cyber),216.125,216.8816360664394,8.542754590034095,40.0
New York Knicks (cyber) - Philadelphia 76ers (cyber),204.2258064516129,203.5720822694217,10.147486524820055,31.0
Philadelphia 76ers (cyber) - Atlanta Hawks (cyber),204.17391304347825,204.34658051767647,9.031865329929662,23.0
Philadelphia 76ers (cyber) - Boston Celtics (cyber),202.74468085106383,200.70598474552816,8.809746952793668,47.0
Philadelphia 76ers (cyber) - Brooklyn Nets (cyber),192.43243243243242,194.4782271363673,10.254991389435185,37.0
Philadelphia 76ers (cyber) - Cleveland Cavaliers (cyber),199.16666666666666,201.26494358058375,9.184706550162169,36.0
Philadelphia 76ers (cyber) - Denver Nuggets (cyber),204.0,205.00559790074902,7.615815223134541,26.0
Philadelphia 76ers (cyber) - Memphis Grizzlies (cyber),194.70967741935485,196.68712441124438,8.885020066329734,31.0
Philadelphia 76ers (cyber) - Miami Heat (cyber),200.30612244897958,199.09617476343547,8.402275014483543,49.0
Philadelphia 76ers (cyber) - Milwaukee Bucks (cyber),213.62962962962962,213.30899303020266,7.775073299652141,27.0
Philadelphia 76ers (cyber) - New York Knicks (cyber),202.58333333333334,202.88925143150115,9.63888888888889,36.0
