TeamPair,MeanActualScores,MeanPredictedScores,MeanAbsoluteError,MatchCount
New York Knicks (cyber) - Philadelphia 76ers (cyber),204.23529411764707,203.96782036340193,9.762812962553054,34.0
Philadelphia 76ers (cyber) - Atlanta Hawks (cyber),204.15384615384616,203.77988198289802,8.581520305061243,26.0
Philadelphia 76ers (cyber) - Boston Celtics (cyber),202.74468085106383,200.99532435027098,8.766653820172415,47.0
Philadelphia 76ers (cyber) - Brooklyn Nets (cyber),192.43243243243242,194.02541597795275,10.218276971185363,37.0
Philadelphia 76ers (cyber) - Cleveland Cavaliers (cyber),199.16666666666666,201.3127261472001,9.197979485333361,36.0
Philadelphia 76ers (cyber) - Denver Nuggets (cyber),204.46428571428572,205.4418495732286,7.495846398087754,28.0
Philadelphia 76ers (cyber) - Memphis Grizzlies (cyber),195.0,196.98222524834324,8.872778156042905,32.0
Philadelphia 76ers (cyber) - Miami Heat (cyber),200.30612244897958,199.2543454121187,8.392591097217222,49.0
Philadelphia 76ers (cyber) - Milwaukee Bucks (cyber),213.62962962962962,213.5013886137934,7.796450586717789,27.0
Philadelphia 76ers (cyber) - New York Knicks (cyber),202.1315789473684,202.41588536586445,9.574520282413918,38.0
Philadelphia 76ers (cyber) - Phoenix Suns (cyber),207.625,204.3131768420694,12.125,8.0
Philadelphia 76ers (cyber) - Sacramento Kings (cyber),206.33333333333334,207.38791554254604,6.820879504727338,18.0
Phoenix Suns (cyber) - Boston Celtics (cyber),204.2,204.16781135330478,8.60372914118455,45.0
Phoenix Suns (cyber) - Cleveland Cavaliers (cyber),208.13636363636363,204.33032266710217,11.590909090909092,22.0
Phoenix Suns (cyber) - Denver Nuggets (cyber),211.7826086956522,209.7104531164502,9.06294497468474,23.0
Phoenix Suns (cyber) - Golden State Warriors (cyber),202.5,203.9759568122727,7.994657069393933,36.0
Phoenix Suns (cyber) - Los Angeles Clippers (cyber),207.36363636363637,203.79293688615115,6.511017212867875,11.0
Phoenix Suns (cyber) - Los Angeles Lakers (cyber),209.3846153846154,206.11956891316694,8.684224152696528,39.0
Phoenix Suns (cyber) - Memphis Grizzlies (cyber),196.2,200.75194706537047,10.950908630506195,15.0
Phoenix Suns (cyber) - Milwaukee Bucks (cyber),214.28947368421052,216.81654025563958,9.81578947368421,38.0
Phoenix Suns (cyber) - Minnesota Timberwolves (cyber),198.95454545454547,198.89285219135635,9.701299601571572,22.0
Phoenix Suns (cyber) - Philadelphia 76ers (cyber),204.8,203.60412096787778,9.167505483854667,25.0
Phoenix Suns (cyber) - Sacramento Kings (cyber),212.32258064516128,210.98198001635927,8.615809674780776,31.0
Sacramento Kings (cyber) - Boston Celtics (cyber),203.9090909090909,207.18211603691591,9.47110145790145,11.0
Sacramento Kings (cyber) - Cleveland Cavaliers (cyber),211.28571428571428,208.17141817686914,6.118368831875833,7.0
Sacramento Kings (cyber) - Denver Nuggets (cyber),216.0909090909091,214.746960170893,7.545454545454546,22.0
Sacramento Kings (cyber) - Golden State Warriors (cyber),213.0,209.81260987535634,9.395796708214553,18.0
Sacramento Kings (cyber) - Los Angeles Clippers (cyber),204.96774193548387,206.02634745631138,10.38794669213907,31.0
Sacramento Kings (cyber) - Los Angeles Lakers (cyber),208.5,209.8244080149699,9.304068002494986,12.0
Sacramento Kings (cyber) - Memphis Grizzlies (cyber),208.30434782608697,205.88509099222293,9.11193674082111,23.0
Sacramento Kings (cyber) - Milwaukee Bucks (cyber),216.71052631578948,219.85156936871556,9.6032097674215,38.0
Sacramento Kings (cyber) - Minnesota Timberwolves (cyber),205.91666666666666,203.65039668327265,9.366534438909119,12.0
Sacramento Kings (cyber) - Philadelphia 76ers (cyber),208.04347826086956,207.5561422579921,8.671472075739475,23.0
Sacramento Kings (cyber) - Phoenix Suns (cyber),208.8181818181818,211.30650176777073,10.866591712623045,11.0
